Processes sonikx-3-0,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2024-11-01 20:38:35,4,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-11-01 20:38:37,1,0,32716.5,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0
2024-11-01 20:38:39,2,0,50524.8,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0
2024-11-01 20:38:41,3,0,35360.3,-1.0,-1.0,-1.0,2.5,-1.0,-1.0,-1.0
2024-11-01 20:38:43,2,0,33600.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-11-01 20:38:45,1,0,23854.0,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,-1.0
2024-11-01 20:38:47,2,0,34204.1,-1.0,-1.0,-1.0,86.8,-1.0,-1.0,-1.0
2024-11-01 20:38:49,2,0,29955.2,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0
2024-11-01 20:38:51,3,0,28380.6,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
2024-11-01 20:38:53,3,0,31507.7,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0
2024-11-01 20:38:55,3,0,28071.5,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0
2024-11-01 20:38:57,3,0,42982.4,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0
2024-11-01 20:38:59,2,0,45326.1,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0
2024-11-01 20:39:01,1,0,39367.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0
2024-11-01 20:39:03,2,0,35270.2,-1.0,-1.0,-1.0,88.0,-1.0,-1.0,-1.0
