Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab_reclaimable,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
2024-11-01 20:38:35,746,38,0,96358,3819124,481092,4,568,1,0,10080,0,0,11436,1,0,0,0,0,0,0,0,0,9662,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:37,520,0,0,96358,3819168,481092,132,2480,1,0,4426,0,0,3218,2,0,0,0,0,0,0,0,0,4443,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:39,395,0,0,96358,3819182,481092,32,1628,8,0,15353,0,0,13618,2,0,0,0,0,0,0,0,0,14302,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:41,379,74,0,96374,3819195,481092,0,1768,0,0,16239,0,0,13899,0,0,0,0,0,0,0,0,0,13977,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:43,487,0,0,96373,3819206,481092,0,1328,0,0,22027,0,0,9166,0,0,0,0,0,0,0,0,0,13499,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:45,499,0,0,96317,3818290,481092,0,1708,0,0,7297,0,0,5229,0,0,0,0,0,0,0,0,0,5510,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:47,279,0,0,96316,3818206,481093,4,2244,0,0,23330,0,0,11666,0,0,0,0,0,0,0,0,0,13289,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:49,437,0,0,96323,3818302,481093,0,448,0,0,6383,0,0,3384,0,0,0,0,0,0,0,0,0,6932,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:51,425,0,0,96375,3819254,481093,52,2180,13,0,3874,0,0,5947,3,0,0,0,0,0,0,0,0,5262,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:53,448,0,0,96375,3819265,481094,12,1108,3,0,4134,0,0,3922,1,0,0,0,0,0,0,0,0,4747,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:55,447,0,0,96373,3819278,481091,0,1136,0,0,3033,0,0,1428,0,0,0,0,0,0,0,0,0,3011,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:57,479,0,0,96367,3819260,481091,0,2544,0,0,3884,0,0,3235,0,0,0,0,0,0,0,0,0,4875,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:38:59,565,0,0,96367,3819269,481091,20,1184,5,0,8992,0,0,6515,1,0,0,0,0,0,0,0,0,8710,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:39:01,696,13,0,96323,3818460,481091,4,1880,0,0,6942,0,0,5206,0,0,0,0,0,0,0,0,0,7309,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01 20:39:03,656,0,0,96325,3818308,481091,0,3068,0,0,41022,0,0,53305,0,0,0,0,0,0,0,0,0,57388,0,0,0,0,0,0,0,0,0,0,0,0,0
